Company Name,Country / Region,Exchange,Ticker Symbol,Sector
Apple Inc.,USA,NASDAQ,AAPL,Technology & Consumer Electronics
Microsoft Corporation,USA,NASDAQ,MSFT,Software & Cloud Computing
NVIDIA Corporation,USA,NASDAQ,NVDA,Semiconductors & AI Hardware
Alphabet Inc. (Google),USA,NASDAQ,GOOGL,Internet Services & Media
Amazon.com Inc.,USA,NASDAQ,AMZN,"E-Commerce & Cloud Computing"
Meta Platforms,USA,NASDAQ,META,"Social Media & Advertising"
Tesla Inc.,USA,NASDAQ,TSLA,"Electric Vehicles & Clean Energy"
Advanced Micro Devices,USA,NASDAQ,AMD,Semiconductors & AI Hardware
Netflix Inc.,USA,NASDAQ,NFLX,"Streaming & Entertainment"
JPMorgan Chase & Co.,USA,NYSE,JPM,"Banking & Financial Services"
Visa Inc.,USA,NYSE,V,Financial Technology & Payments
Walmart Inc.,USA,NYSE,WMT,"Retail & Consumer Goods"
Exxon Mobil Corporation,USA,NYSE,XOM,"Energy & Oil/Gas"
Coca-Cola Company,USA,NYSE,KO,"Beverages & Consumer Goods"
Mastercard Inc.,USA,NYSE,MA,"Financial Technology & Payments"
Bank of America Corp,USA,NYSE,BAC,"Banking & Financial Services"
Procter & Gamble Co.,USA,NYSE,PG,"Consumer Goods"
Johnson & Johnson,USA,NYSE,JNJ,"Pharmaceuticals & Healthcare"
Chevron Corporation,USA,NYSE,CVX,"Energy & Oil/Gas"
Home Depot Inc.,USA,NYSE,HD,"Home Improvement Retail"
Broadcom Inc.,USA,NASDAQ,AVGO,"Semiconductors & Infrastructure Software"
Eli Lilly and Company,USA,NYSE,LLY,"Pharmaceuticals & Healthcare"
AbbVie Inc.,USA,NYSE,ABBV,"Pharmaceuticals & Healthcare"
Merck & Co. Inc.,USA,NYSE,MRK,"Healthcare & Pharmaceuticals"
PepsiCo Inc.,USA,NASDAQ,AAPL,"Food, Snack & Beverages"
Adobe Inc.,USA,NASDAQ,ADBE,"Software & Digital Media"
Salesforce Inc.,USA,NYSE,CRM,"Enterprise Cloud Software"
Costco Wholesale Corp.,USA,NASDAQ,COST,"Retail & Wholesale"
Accenture plc,USA,NYSE,ACN,"IT Consulting & Services"
AMD,USA,NASDAQ,AMD,Semiconductors
Intel Corporation,USA,NASDAQ,INTC,Semiconductors
Cisco Systems,USA,NASDAQ,CSCO,"Networking & Telecommunications"
Oracle Corporation,USA,NYSE,ORCL,"Enterprise Software & Cloud"
IBM,USA,NYSE,IBM,"Technology & Cloud Services"
Qualcomm Inc.,USA,NASDAQ,QCOM,"Semiconductors & Mobile Technology"
Texas Instruments,USA,NASDAQ,TXN,Semiconductors
Intuit Inc.,USA,NASDAQ,INTU,"Financial Software"
Advanced Auto Parts,USA,NYSE,AAP,"Automotive Retail"
Boeing,USA,NYSE,BA,"Aerospace & Defense"
Raytheon Technologies,USA,NYSE,RTX,"Aerospace & Defense"
Lockheed Martin,USA,NYSE,LMT,"Aerospace & Defense"
